カテゴリ,番号,対象,提案内容,確認ポイント,回答,メモ
A: 基本構造,A-1,M3,シートは「メカ/エレキ/Api」の3分類で統一してよい？,他の分類方法があるか,,
A: 基本構造,A-2,M3,「買い物」「副資材」は受入検査の対象外としてよい？,それとも統合すべきか,,
A: 基本構造,A-3,M3,「受入に時間がかかるもの」はバッテリー専用シートとして扱う？,別運用が必要か,,
B: 列構成の統一,B-1,M3,全シート共通で「発注番号」を必須項目にしてよい？,エレキ/Apiでも使っているはず,,
B: 列構成の統一,B-2,M3,「人工」列は不要では？検査工数(分)があれば計算できる,残す理由があるか,,
B: 列構成の統一,B-3,M3,最終列は「品質基準書修正要否と箇所」で統一してよい？（Apiだけ「その他」になっている）,別の意味で使っているか,,
C: 入力ルール,C-1,M3,検査数量は「数値のみ」にして、検査方法は別列にする？,,,
C: 入力ルール,C-2,M3,検査方法は選択式にする？（例: 全数/抜取5/抜取20/外観のみ/員数のみ）,他のパターンがあるか,,
C: 入力ルール,C-3,M3,作業者は選択式にする？（マスタ登録制）,,,
C: 入力ルール,C-4,M3,サプライヤは選択式にする？（マスタ登録制、表記揺れ防止）,,,
D: 不良記録,D-1,M3,不良があったら「不良数量」は必須入力にする？,,,
D: 不良記録,D-2,M3,「検査結果・備考」を分離する？（判定/不良内容/対策/申し送りを別々に）,,,
D: 不良記録,D-3,M3,「不問」判定の場合は理由を必須にする？,,,
D: 不良記録,D-4,M3,「要協議」「再発防止依頼」はステータス管理する？（未対応/対応中/完了）,,,
E: 運用フロー,E-1,M3,入力タイミングは「検査完了直後」でよい？,バッチでまとめて入力している？,,
E: 運用フロー,E-2,M3,入力デバイスはタブレットを想定？,PCのみ？,,
E: 運用フロー,E-3,M3,写真は「不良があった場合のみ」撮影でよい？,全件撮影？,,
F: 基本構造,F-1,M4,「不具合発生」シートの3分類（社内受入/ナカヨ製造/客先運用）は維持する？,,,
F: 基本構造,F-2,M4,日付・数量・対策ステータスを追加する？（現状なし）,,,
F: 基本構造,F-3,M4,受入検査との紐付けは必要？（どの入荷分で発生したか）,,,
G: 記録項目,G-1,M4,不良分類コードを作る？（キズ/インサート不良/異物混入/寸法NG/etc）,,,
G: 記録項目,G-2,M4,原因分析は必須？（4M: Man/Machine/Material/Method）,,,
G: 記録項目,G-3,M4,是正処置の記録は必須？,,,
H: 分析目的,H-1,M4,分析したいのは「どのサプライヤで不良が多いか」？,,,
H: 分析目的,H-2,M4,分析したいのは「どの部品で不良が多いか」？,,,
H: 分析目的,H-3,M4,分析したいのは「どの工程で不良が発生しているか」？,,,
H: 分析目的,H-4,M4,パレート図を出したい？,,,
I: 分析入力項目,I-1,共通,ロット単位で品質を追跡したいですか？,→ 入力項目に「ロットID」を追加,,
I: 分析入力項目,I-2,共通,検査治具・検査場所別の分析は必要ですか？,→ 入力項目に「検査治具」「検査場所」を追加,,
I: 分析入力項目,I-3,共通,作業者の属性（身長・経験年数）を分析に使いたいですか？,→ 作業者マスタに属性を追加,,
I: 分析入力項目,I-4,共通,工程の詳細分類は必要ですか？（「社内/ナカヨ/客先」より細かく）,→ 工程マスタを設計,,
I: 分析入力項目,I-5,共通,不良内容の選択肢はこれで足りますか？（インサート不良/キズ/異物混入/寸法NG/その他）,→ 不足があれば追加,,
J: 現在監視,J-1,共通,当日の検査件数・不良件数をリアルタイムで見たいですか？,→ ダッシュボードに「本日」集計を追加,,
J: 現在監視,J-2,共通,管理図（SPC）で日々の不良率を監視したいですか？,→ QuickSightで管理図を設定,,
J: 現在監視,J-3,共通,管理図はどの単位で見たいですか？,日別 / ロット別 / 週別 / 月別,,
K: 未来予測,K-1,共通,不良率が悪化傾向にあるとき、自動で警告がほしいですか？,→ QuickSight異常検知を設定,,
K: 未来予測,K-2,共通,特定のサプライヤで不良が増えたとき、自動で気づきたいですか？,→ サプライヤ別の異常検知を設定,,
K: 未来予測,K-3,共通,「不良が起きる前に防ぐ」仕組みは必要ですか？,→ 管理図 + 異常検知の優先度を上げる,,
